序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),臭氧8小時最大值 O3_Max_8_HR (ppb),懸浮微粒 PM 10  (μg/m 3 ),細懸浮微粒 PM 2.5  (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppmC),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),大氣溫度 AMB_TEMP (℃),相對濕度 RH (percent)
1.0,臺北市,2012/09/30,松山,3.8,0.61,414.07,51.1,82.0,69.0,39.0,25.23,2.53,22.7,2.222,0.199,2.02,22.2,58.67
2.0,臺北市,2012/09/30,古亭,4.3,0.49,405.3762777777778,55.5,75.0,73.0,37.0,19.76,2.42,17.34,2.051,0.107,1.94,22.87,63.83
3.0,臺北市,2012/09/30,中山,4.0,0.73,405.3762777777778,45.1,67.0,70.0,46.0,35.01,4.08,30.93,2.306,0.201,2.11,23.51,57.07
4.0,臺北市,2012/09/30,大同,4.6,0.97,405.3762777777778,37.34820607175713,57.845521023766,74.0,42.0,49.56,13.67,35.89,2.451,0.304,2.15,27.506841379310348,72.9204275862069
5.0,臺北市,2012/09/30,萬華,3.8,0.53,405.3762777777778,48.5,70.0,67.0,39.0,26.93,2.27,24.66,2.0929962299717246,0.20141470311027335,1.8921112158341187,23.33,57.14
6.0,臺北市,2012/09/30,陽明,4.3,0.3,395.99,71.8,78.0,41.0,27.0,3.57,0.55,3.01,2.0929962299717246,0.20141470311027335,1.8921112158341187,15.31,84.98
7.0,臺北市,2012/09/30,士林,4.2,0.56,405.3762777777778,53.6,79.0,69.0,39.0,18.4,1.83,16.57,2.0929962299717246,0.20141470311027335,1.8921112158341187,22.41,57.04
8.0,臺北市,2012/09/29,松山,1.6,0.46,403.94,52.0,66.0,61.0,33.0,16.87,1.48,15.39,2.013,0.126,1.89,23.24,62.02
9.0,臺北市,2012/09/29,古亭,2.3,0.6,405.3762777777778,40.4,61.0,70.0,35.0,26.77,4.14,22.63,2.097,0.171,1.93,23.55,72.03
10.0,臺北市,2012/09/29,中山,2.2,0.67,405.3762777777778,42.5,55.0,63.0,40.0,32.26,5.66,26.6,2.199,0.186,2.01,24.25,62.83
11.0,臺北市,2012/09/29,大同,3.1,1.14,405.3762777777778,37.34820607175713,57.845521023766,68.0,40.0,52.14,18.93,33.21,2.384,0.331,2.05,27.506841379310348,72.9204275862069
12.0,臺北市,2012/09/29,萬華,2.5,0.54,405.3762777777778,43.3,55.0,64.0,35.0,24.88,2.6,22.28,2.0929962299717246,0.20141470311027335,1.8921112158341187,24.12,63.3
13.0,臺北市,2012/09/29,陽明,3.0,0.25,396.22,63.1,74.0,33.0,23.0,2.65,0.44,2.25,2.0929962299717246,0.20141470311027335,1.8921112158341187,15.17,96.09
14.0,臺北市,2012/09/29,士林,1.5,0.42,405.3762777777778,52.3,66.0,64.0,33.0,16.913414744459523,4.084427860696517,12.825599276345546,2.0929962299717246,0.20141470311027335,1.8921112158341187,23.34,60.28
15.0,臺北市,2012/09/28,松山,0.5,0.2,389.72,48.3,51.0,36.0,18.0,7.78,1.59,6.19,1.785,0.028,1.76,24.95,77.21
16.0,臺北市,2012/09/28,古亭,1.4,0.3,405.3762777777778,39.4,44.0,45.0,20.0,14.47,1.87,12.6,1.887,0.084,1.8,25.44,83.67
17.0,臺北市,2012/09/28,中山,0.6,0.43,405.3762777777778,38.8,44.0,33.0,28.0,18.54,4.44,14.1,1.969,0.101,1.87,25.74,77.56
18.0,臺北市,2012/09/28,大同,1.9,0.94,405.3762777777778,37.34820607175713,57.845521023766,46.0,24.0,45.02,19.07,25.95,2.223,0.274,1.95,27.506841379310348,72.9204275862069
19.0,臺北市,2012/09/28,萬華,0.5,0.36,405.3762777777778,36.8,41.0,37.0,18.0,17.05,2.01,15.03,2.0929962299717246,0.20141470311027335,1.8921112158341187,25.56,78.09
