序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),臭氧8小時最大值 O3_Max_8_HR (ppb),懸浮微粒 PM 10  (μg/m 3 ),細懸浮微粒 PM 2.5  (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppmC),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),大氣溫度 AMB_TEMP (℃),相對濕度 RH (percent)
1.0,臺北市,2013/12/31,松山,5.0,0.71,421.2584444444445,23.6,47.97294860234445,55.0,37.0,47.22,13.88,33.34,2.2433055555555557,0.29181851851851853,1.9519444444444443,1.89,16.09,68.24
2.0,臺北市,2013/12/31,古亭,4.5,0.69,421.2584444444445,25.6,47.97294860234445,64.0,38.0,39.17,8.84,30.33,2.2433055555555557,0.29181851851851853,1.9519444444444443,1.96,16.92,67.68
3.0,臺北市,2013/12/31,中山,3.5,0.91,421.2584444444445,18.6,47.97294860234445,80.0,42.0,55.59,18.17,37.42,2.2433055555555557,0.29181851851851853,1.9519444444444443,1.67,17.52,67.96
4.0,臺北市,2013/12/31,大同,5.3,1.92,421.2584444444445,27.78409490333919,47.97294860234445,90.0,50.0,121.47,73.53,47.94,2.2433055555555557,0.29181851851851853,1.9519444444444443,2.788768050541516,17.155570175438594,74.28001316944687
5.0,臺北市,2013/12/31,萬華,4.9,0.73,421.2584444444445,22.2,47.97294860234445,58.0,36.0,47.57,10.43,37.15,2.2433055555555557,0.29181851851851853,1.9519444444444443,2.28,17.3,64.98
6.0,臺北市,2013/12/31,陽明,2.9,0.26,421.2584444444445,55.0,47.97294860234445,24.0,18.0,5.21,1.35,3.86,2.2433055555555557,0.29181851851851853,1.9519444444444443,2.788768050541516,10.36,93.54
7.0,臺北市,2013/12/31,士林,4.7,0.71,421.2584444444445,27.5,47.97294860234445,59.0,37.0,34.78,9.26,25.53,2.2433055555555557,0.29181851851851853,1.9519444444444443,1.53,16.81,67.67
8.0,臺北市,2013/12/30,松山,4.7,0.72,421.2584444444445,13.9,47.97294860234445,58.0,44.0,48.58,14.99,33.6,2.2433055555555557,0.29181851851851853,1.9519444444444443,1.49,13.91,83.0
9.0,臺北市,2013/12/30,古亭,4.4,0.66,421.2584444444445,18.5,47.97294860234445,66.0,37.0,35.55,10.04,25.51,2.2433055555555557,0.29181851851851853,1.9519444444444443,1.99,14.57,83.57
10.0,臺北市,2013/12/30,中山,5.1,0.85,421.2584444444445,11.8,47.97294860234445,77.0,49.0,56.99,21.16,35.83,2.2433055555555557,0.29181851851851853,1.9519444444444443,1.77,15.02,84.4
11.0,臺北市,2013/12/30,大同,6.0,1.95,421.2584444444445,27.78409490333919,47.97294860234445,96.0,52.0,121.7,80.9,40.8,2.2433055555555557,0.29181851851851853,1.9519444444444443,2.788768050541516,17.155570175438594,74.28001316944687
12.0,臺北市,2013/12/30,萬華,5.3,0.72,421.2584444444445,13.9,47.97294860234445,58.0,39.0,48.39,14.93,33.46,2.2433055555555557,0.29181851851851853,1.9519444444444443,2.44,14.92,80.75
13.0,臺北市,2013/12/30,陽明,3.1,0.32,421.2584444444445,42.0,47.97294860234445,11.0,7.0,5.95,0.82,5.14,2.2433055555555557,0.29181851851851853,1.9519444444444443,2.788768050541516,8.89,99.0
14.0,臺北市,2013/12/30,士林,4.5,0.68,421.2584444444445,20.4,47.97294860234445,62.0,41.0,35.18,10.87,24.31,2.2433055555555557,0.29181851851851853,1.9519444444444443,1.37,14.7,77.59
15.0,臺北市,2013/12/29,松山,4.5,0.52,421.2584444444445,16.8,47.97294860234445,60.0,38.0,29.81,4.49,25.32,2.2433055555555557,0.29181851851851853,1.9519444444444443,1.48,11.18,82.42
16.0,臺北市,2013/12/29,古亭,4.1,0.51,421.2584444444445,17.5,47.97294860234445,57.0,36.0,26.52,5.48,21.05,2.2433055555555557,0.29181851851851853,1.9519444444444443,2.04,11.56,85.92
17.0,臺北市,2013/12/29,中山,4.1,0.6,421.2584444444445,11.7,47.97294860234445,82.0,47.0,38.44,11.85,26.59,2.2433055555555557,0.29181851851851853,1.9519444444444443,1.68,12.24,84.81
