﻿序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),臭氧 O3 (ppb),懸浮微粒 PM 10 (μg/m 3 ),細懸浮微粒 PM 2.5 (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),風速 WIND_SPEED (m/sec),溫度 AMB_TEMP (℃),相對濕度 RH (percent) 
1.0,臺北市,2015/01/31,松山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,17.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
2.0,臺北市,2015/01/31,松山,2.3,0.55,24.6,27.0,34.07998289136014,22.5,3.93,18.57,1.94,13.71,81.94
3.0,臺北市,2015/01/31,古亭,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,21.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
4.0,臺北市,2015/01/31,古亭,2.4,0.56,24.1,36.0,34.07998289136014,20.63,4.43,16.2,2.94,14.44,83.5
5.0,臺北市,2015/01/31,中山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,16.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
6.0,臺北市,2015/01/31,中山,2.5,0.69,21.7,39.0,34.07998289136014,29.14,8.05,21.09,2.45,14.92,79.84
7.0,臺北市,2015/01/31,大同,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,13.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
8.0,臺北市,2015/01/31,大同,2.7,1.08,31.225284339457566,43.0,34.07998289136014,59.38,31.7,27.68,2.6251324651998202,17.116743780008733,69.75121397379911
9.0,臺北市,2015/01/31,萬華,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,16.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
10.0,臺北市,2015/01/31,萬華,2.0,0.57,22.4,28.0,34.07998289136014,23.92,4.9,19.02,3.04,14.67,76.74
11.0,臺北市,2015/01/31,陽明,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,3.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
12.0,臺北市,2015/01/31,陽明,1.4,0.38,40.0,5.0,34.07998289136014,2.59,0.51,2.0,2.6251324651998202,7.36,100.0
13.0,臺北市,2015/01/31,士林,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,12.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
14.0,臺北市,2015/01/31,士林,0.8,0.44,35.4,21.0,34.07998289136014,10.51,2.37,8.14,2.41,14.9,69.83
15.0,臺北市,2015/01/30,松山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,5.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
