﻿序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),懸浮微粒 PM 10 (μg/m 3 ),細懸浮微粒 PM 2.5 (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),風速 WIND_SPEED (m/sec),溫度 AMB_TEMP (℃),相對濕度 RH (percent) 
1.0,臺北市,2015/06/30,松山,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,18.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
2.0,臺北市,2015/06/30,松山,3.3,0.53,424.46,26.4,34.0,11.99911190053286,27.98,7.21,20.77,2.09,32.17,60.76
3.0,臺北市,2015/06/30,古亭,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,15.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
4.0,臺北市,2015/06/30,古亭,2.7,0.46,414.5005617977528,25.9,49.0,11.99911190053286,21.35,4.41,16.94,2.16,31.46,68.58
5.0,臺北市,2015/06/30,中山,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,19.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
6.0,臺北市,2015/06/30,中山,4.1,0.8,414.5005617977528,18.4,43.0,11.99911190053286,39.19,12.66,26.53,1.96,32.88,60.4
7.0,臺北市,2015/06/30,大同,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,15.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
8.0,臺北市,2015/06/30,大同,4.1,1.87,414.5005617977528,20.492555605991825,55.0,11.99911190053286,57.8,30.56,27.24,2.3164478584729977,29.76655626134301,73.4927029478458
9.0,臺北市,2015/06/30,萬華,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,17.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
10.0,臺北市,2015/06/30,萬華,3.1,0.5,414.5005617977528,26.2,38.0,11.99911190053286,21.5,3.83,17.66,1.91,32.23,61.76
