SITEID,COUNTYID,PSI,DATACREATIONDATE
279,65000,61.0,2015/2/08
280,65000,63.0,2015/2/08
281,65000,66.0,2015/2/08
282,65000,66.0,2015/2/08
283,65000,65.0,2015/2/08
284,65000,67.0,2015/2/08
285,65000,66.0,2015/2/08
286,63000,59.0,2015/2/08
287,63000,74.0,2015/2/08
288,63000,60.0,2015/2/08
289,63000,70.0,2015/2/08
290,63000,66.0,2015/2/08
201,63000,67.0,2015/2/08
291,68000,62.0,2015/2/08
292,68000,70.0,2015/2/08
202,68000,70.0,2015/2/08
293,68000,72.0,2015/2/08
294,68000,61.0,2015/2/08
295,10004,68.0,2015/2/08
296,10004,60.0,2015/2/08
297,10018,64.0,2015/2/08
203,10005,66.0,2015/2/08
291,68000,56.0,2015/2/12
292,68000,50.0,2015/2/12
202,68000,50.0,2015/2/12
293,68000,63.0,2015/2/12
294,68000,59.0,2015/2/12
295,10004,57.0,2015/2/12
296,10004,52.0,2015/2/12
297,10018,53.0,2015/2/12
203,10005,56.0,2015/2/12
241,10005,53.0,2015/2/12
242,10005,50.0,2015/2/12
243,66000,52.0,2015/2/12
244,66000,57.0,2015/2/12
248,10007,56.0,2015/2/08
204,10007,52.0,2015/2/08
249,10007,56.0,2015/2/08
250,10008,68.0,2015/2/08
251,10009,63.0,2015/2/08
252,10009,60.0,2015/2/08
253,10010,66.0,2015/2/08
254,10010,62.0,2015/2/08
205,10009,51.0,2015/2/08
255,10020,76.0,2015/2/08
256,67000,69.0,2015/2/08
257,67000,66.0,2015/2/08
258,67000,62.0,2015/2/08
259,67000,63.0,2015/2/08
260,64000,72.0,2015/2/08
206,64000,69.0,2015/2/08
261,64000,86.0,2015/2/08
207,64000,91.0,2015/2/08
262,64000,78.0,2015/2/08
263,64000,61.0,2015/2/08
264,64000,72.0,2015/2/08
265,64000,64.0,2015/2/08
266,64000,68.0,2015/2/08
209,64000,68.0,2015/2/08
267,64000,72.0,2015/2/08
268,10013,76.0,2015/2/08
270,10013,44.0,2015/2/16
271,10014,37.0,2015/2/16
272,10015,52.0,2015/2/16
210,63000,43.0,2015/2/16
273,10002,45.0,2015/2/16
274,10002,46.0,2015/2/16
211,65000,59.0,2015/2/16
212,68000,58.0,2015/2/16
275,10008,60.0,2015/2/16
213,65000,,2015/2/16
214,64000,54.0,2015/2/16
215,10008,47.0,2015/2/16
218,9007,50.0,2015/2/16
220,9020,74.0,2015/2/16
221,10016,40.0,2015/2/16
223,10014,34.0,2015/2/16
290,63000,54.0,2015/2/11
201,63000,54.0,2015/2/11
291,68000,50.0,2015/2/11
292,68000,46.0,2015/2/11
202,68000,46.0,2015/2/11
293,68000,55.0,2015/2/11
294,68000,58.0,2015/2/11
295,10004,52.0,2015/2/11
296,10004,53.0,2015/2/11
297,10018,49.0,2015/2/11
203,10005,52.0,2015/2/11
241,10005,52.0,2015/2/11
242,10005,52.0,2015/2/11
243,66000,54.0,2015/2/11
244,66000,52.0,2015/2/11
245,66000,59.0,2015/2/11
246,66000,54.0,2015/2/11
247,66000,56.0,2015/2/11
248,10007,50.0,2015/2/11
204,10007,42.0,2015/2/11
249,10007,48.0,2015/2/11
367625,10009,70.0,2015/2/16
276,10017,30.0,2015/2/16
277,65000,52.0,2015/2/16
278,65000,32.0,2015/2/16
279,65000,44.0,2015/2/16
280,65000,60.0,2015/2/16
281,65000,66.0,2015/2/16
282,65000,60.0,2015/2/16
283,65000,58.0,2015/2/16
284,65000,49.0,2015/2/16
285,65000,52.0,2015/2/16
286,63000,56.0,2015/2/16
287,63000,56.0,2015/2/16
288,63000,45.0,2015/2/16
289,63000,52.0,2015/2/16
290,63000,38.0,2015/2/16
270,10013,66.0,2015/2/12
271,10014,56.0,2015/2/12
272,10015,55.0,2015/2/12
210,63000,54.0,2015/2/12
273,10002,62.0,2015/2/12
274,10002,69.0,2015/2/12
211,65000,76.0,2015/2/12
212,68000,74.0,2015/2/12
253,10010,98.0,2015/2/15
254,10010,90.0,2015/2/15
205,10009,72.0,2015/2/15
255,10020,103.0,2015/2/15
256,67000,82.0,2015/2/15
257,67000,80.0,2015/2/15
258,67000,88.0,2015/2/15
259,67000,84.0,2015/2/15
260,64000,78.0,2015/2/15
206,64000,68.0,2015/2/15
261,64000,74.0,2015/2/15
207,64000,70.0,2015/2/15
262,64000,46.0,2015/2/15
263,64000,32.0,2015/2/15
264,64000,84.0,2015/2/15
265,64000,63.0,2015/2/15
266,64000,56.0,2015/2/15
209,64000,53.0,2015/2/15
267,64000,62.0,2015/2/15
268,10013,62.0,2015/2/15
269,10013,63.0,2015/2/15
270,10013,40.0,2015/2/15
