SITEID,COUNTYID,DATACREATIONDATE,PSI
203,10005,12-8 -16,32.0
241,10005,12-8 -16,21.0
242,10005,12-8 -16,26.0
243,66000,12-8 -16,24.0
244,66000,12-8 -16,27.0
245,66000,12-8 -16,22.0
246,66000,12-8 -16,11.0
247,66000,12-8 -16,20.0
248,10007,12-8 -16,23.0
204,10007,12-8 -16,23.0
249,10007,12-8 -16,16.0
250,10008,12-8 -16,20.0
251,10009,12-8 -16,14.0
252,10009,12-8 -16,14.0
259,67000,20-8 -16,18.0
260,64000,20-8 -16,12.0
206,64000,20-8 -16,22.0
261,64000,20-8 -16,52.0
207,64000,20-8 -16,29.0
262,64000,17-8 -16,
263,64000,20-8 -16,20.0
264,64000,20-8 -16,34.0
297,10018,12-8 -16,35.0
253,10010,12-8 -16,20.0
254,10010,12-8 -16,31.0
205,10009,12-8 -16,16.0
255,10020,12-8 -16,28.0
256,67000,12-8 -16,32.0
257,67000,12-8 -16,24.0
258,67000,12-8 -16,22.0
259,67000,12-8 -16,21.0
260,64000,12-8 -16,14.0
206,64000,12-8 -16,12.0
261,64000,12-8 -16,42.0
273,10002,12-8 -16,32.0
274,10002,12-8 -16,31.0
211,65000,12-8 -16,40.0
212,68000,12-8 -16,41.0
275,10008,12-8 -16,37.0
213,65000,12-8 -16,27.0
214,64000,12-8 -16,18.0
215,10008,12-8 -16,31.0
218,9007,12-8 -16,22.0
220,9020,12-8 -16,19.0
221,10016,12-8 -16,13.0
223,10014,12-8 -16,23.0
292,68000,18-8 -16,28.0
202,68000,18-8 -16,30.0
293,68000,18-8 -16,31.0
294,68000,18-8 -16,31.0
295,10004,18-8 -16,26.0
296,10004,18-8 -16,23.0
297,10018,18-8 -16,25.0
203,10005,18-8 -16,27.0
241,10005,18-8 -16,28.0
242,10005,18-8 -16,19.0
243,66000,18-8 -16,
244,66000,18-8 -16,32.0
245,66000,18-8 -16,21.0
246,66000,18-8 -16,18.0
247,66000,18-8 -16,28.0
248,10007,18-8 -16,23.0
204,10007,18-8 -16,22.0
249,10007,18-8 -16,25.0
250,10008,18-8 -16,26.0
251,10009,18-8 -16,28.0
252,10009,18-8 -16,23.0
253,10010,18-8 -16,32.0
281,65000,21-8 -16,49.0
282,65000,21-8 -16,47.0
283,65000,21-8 -16,44.0
284,65000,21-8 -16,52.0
285,65000,21-8 -16,44.0
286,63000,21-8 -16,44.0
287,63000,21-8 -16,50.0
288,63000,21-8 -16,40.0
289,63000,21-8 -16,42.0
290,63000,21-8 -16,44.0
201,63000,21-8 -16,54.0
291,68000,21-8 -16,41.0
292,68000,21-8 -16,50.0
202,68000,21-8 -16,46.0
293,68000,21-8 -16,48.0
255,10020,18-8 -16,23.0
256,67000,18-8 -16,23.0
257,67000,18-8 -16,16.0
258,67000,18-8 -16,28.0
259,67000,18-8 -16,16.0
260,64000,18-8 -16,11.0
206,64000,18-8 -16,13.0
261,64000,18-8 -16,41.0
207,64000,18-8 -16,31.0
263,64000,18-8 -16,41.0
264,64000,18-8 -16,27.0
265,64000,18-8 -16,24.0
266,64000,18-8 -16,28.0
209,64000,18-8 -16,21.0
267,64000,18-8 -16,40.0
268,10013,18-8 -16,19.0
269,10013,18-8 -16,27.0
270,10013,18-8 -16,29.0
367625,10009,18-8 -16,44.0
276,10017,18-8 -16,36.0
277,65000,18-8 -16,35.0
278,65000,18-8 -16,40.0
279,65000,18-8 -16,53.0
280,65000,18-8 -16,48.0
281,65000,18-8 -16,
282,65000,18-8 -16,38.0
